,hru,CN2,ALPHA_BF,GW_DELAY,GWQMN,RCHRG_DP,GW_REVAP,LAT_TTIME,OV_N,SLSUBBSN,HRU_SLP,ESCO,SURLAG,EPCO,SOL_AWC,SOL_K,SOL_BD,CH_N2,CH_K2,ALPHA_BNK
0,000010000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
1,000010001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.012,,,,0.22,950.0,2.07,,,
2,000010002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.016,,,,0.22,950.0,2.07,,,
3,000020000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
4,000020001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.38,,,,0.22,950.0,2.07,,,
5,000020002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.175,,,,0.22,950.0,2.07,,,
6,000020003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.248,,,,0.22,950.0,2.07,,,
7,000020004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
8,000020005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.014,,,,0.22,950.0,2.07,,,
9,000020006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
10,000020007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.385,,,,0.22,950.0,2.07,,,
11,000020008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
12,000020009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
13,000020010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
14,000020011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
15,000020012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
16,000020013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.176,,,,0.22,950.0,2.07,,,
17,000020014,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.378,,,,0.22,950.0,2.07,,,
18,000020015,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.013,,,,0.22,950.0,2.07,,,
19,000020016,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.013,,,,0.22,950.0,2.07,,,
20,000030000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
21,000030001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
22,000030002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.014,,,,0.22,950.0,2.07,,,
23,000030003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
24,000030004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.361,,,,0.22,950.0,2.07,,,
25,000030005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
26,000030006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.011,,,,0.22,950.0,2.07,,,
27,000030007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.01,,,,0.22,950.0,2.07,,,
28,000030008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
29,000030009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
30,000040000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
31,000040001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.015,,,,0.22,950.0,2.07,,,
32,000040002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
33,000040003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
34,000040004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
35,000050000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
36,000050001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.39,,,,0.22,950.0,2.07,,,
37,000050002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.242,,,,0.22,950.0,2.07,,,
38,000050003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.175,,,,0.22,950.0,2.07,,,
39,000050004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.126,,,,0.22,950.0,2.07,,,
40,000050005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
41,000050006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.02,,,,0.22,950.0,2.07,,,
42,000050007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
43,000060000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
44,000060001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.056,,,,0.22,950.0,2.07,,,
45,000060002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.017,,,,0.22,950.0,2.07,,,
46,000060003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.0,,,,0.22,950.0,2.07,,,
47,000060004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.004,,,,0.22,950.0,2.07,,,
48,000070000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
49,000070001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
50,000070002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.073,,,,0.22,950.0,2.07,,,
51,000070003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.12,,,,0.22,950.0,2.07,,,
52,000070004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.0,,,,0.22,950.0,2.07,,,
53,000080000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
54,000080001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.018,,,,0.22,950.0,2.07,,,
55,000080002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
56,000080003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
57,000080004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.075,,,,0.22,950.0,2.07,,,
58,000080005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
59,000080006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.393,,,,0.22,950.0,2.07,,,
60,000080007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.251,,,,0.22,950.0,2.07,,,
61,000090000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
62,000090001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.02,,,,0.22,950.0,2.07,,,
63,000090002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
64,000100000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
65,000100001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
66,000100002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.025,,,,0.22,950.0,2.07,,,
67,000100003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.119,,,,0.22,950.0,2.07,,,
68,000100004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
69,000100005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.122,,,,0.22,950.0,2.07,,,
70,000100006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.073,,,,0.22,950.0,2.07,,,
71,000100007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
72,000100008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.024,,,,0.22,950.0,2.07,,,
73,000100009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.25,,,,0.22,950.0,2.07,,,
74,000100010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.395,,,,0.22,950.0,2.07,,,
75,000100011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.571,,,,0.22,950.0,2.07,,,
76,000100012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
77,000100013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
78,000100014,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.385,,,,0.22,950.0,2.07,,,
79,000110000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
80,000110001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.173,,,,0.22,950.0,2.07,,,
81,000110002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
82,000110003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.242,,,,0.22,950.0,2.07,,,
83,000110004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
84,000110005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.074,,,,0.22,950.0,2.07,,,
85,000110006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.374,,,,0.22,950.0,2.07,,,
86,000110007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.118,,,,0.22,950.0,2.07,,,
87,000110008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
88,000110009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.025,,,,0.22,950.0,2.07,,,
89,000110010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
90,000110011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.027,,,,0.22,950.0,2.07,,,
91,000110012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.074,,,,0.22,950.0,2.07,,,
92,000110013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.238,,,,0.22,950.0,2.07,,,
93,000120000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
94,000120001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.241,,,,0.22,950.0,2.07,,,
95,000120002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.027,,,,0.22,950.0,2.07,,,
96,000120003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.121,,,,0.22,950.0,2.07,,,
97,000120004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
98,000120005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
99,000120006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
100,000120007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.119,,,,0.22,950.0,2.07,,,
101,000120008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.12,,,,0.22,950.0,2.07,,,
102,000120009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.072,,,,0.22,950.0,2.07,,,
103,000120010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.243,,,,0.22,950.0,2.07,,,
104,000120011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.025,,,,0.22,950.0,2.07,,,
105,000120012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
106,000120013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.026,,,,0.22,950.0,2.07,,,
107,000130000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
108,000130001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
109,000130002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.012,,,,0.22,950.0,2.07,,,
110,000130003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
111,000130004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
112,000140000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
113,000140001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
114,000140002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
115,000140003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.015,,,,0.22,950.0,2.07,,,
116,000140004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.065,,,,0.22,950.0,2.07,,,
117,000150000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
118,000150001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
119,000150002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
120,000160000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
121,000160001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
122,000160002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
123,000160003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.373,,,,0.22,950.0,2.07,,,
124,000160004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
125,000160005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.073,,,,0.22,950.0,2.07,,,
126,000160006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
127,000160007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
128,000170000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
129,000170001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
130,000170002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
131,000170003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.381,,,,0.22,950.0,2.07,,,
132,000170004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.245,,,,0.22,950.0,2.07,,,
133,000170005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.073,,,,0.22,950.0,2.07,,,
134,000170006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.121,,,,0.22,950.0,2.07,,,
135,000170007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.025,,,,0.22,950.0,2.07,,,
136,000170008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.125,,,,0.22,950.0,2.07,,,
137,000170009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.248,,,,0.22,950.0,2.07,,,
138,000170010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.386,,,,0.22,950.0,2.07,,,
139,000170011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.576,,,,0.22,950.0,2.07,,,
140,000180000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
141,000180001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
142,000180002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
143,000180003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
144,000180004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.026,,,,0.22,950.0,2.07,,,
145,000180005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.125,,,,0.22,950.0,2.07,,,
146,000180006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.245,,,,0.22,950.0,2.07,,,
147,000180007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
148,000180008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.174,,,,0.22,950.0,2.07,,,
149,000180009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.074,,,,0.22,950.0,2.07,,,
150,000180010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
151,000180011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.381,,,,0.22,950.0,2.07,,,
152,000180012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.245,,,,0.22,950.0,2.07,,,
153,000180013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.075,,,,0.22,950.0,2.07,,,
154,000180014,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
155,000180015,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.018,,,,0.22,950.0,2.07,,,
156,000180016,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.384,,,,0.22,950.0,2.07,,,
157,000180017,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
158,000180018,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
159,000180019,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
160,000180020,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.027,,,,0.22,950.0,2.07,,,
161,000180021,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.369,,,,0.22,950.0,2.07,,,
162,000190000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
163,000190001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
164,000190002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
165,000200000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
166,000200001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.63,,,,0.22,950.0,2.07,,,
167,000200002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.399,,,,0.22,950.0,2.07,,,
168,000200003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
169,000200004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.244,,,,0.22,950.0,2.07,,,
170,000200005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.175,,,,0.22,950.0,2.07,,,
171,000200006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.115,,,,0.22,950.0,2.07,,,
172,000200007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.072,,,,0.22,950.0,2.07,,,
173,000200008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.023,,,,0.22,950.0,2.07,,,
174,000200009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.07,,,,0.22,950.0,2.07,,,
175,000200010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
176,000200011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.115,,,,0.22,950.0,2.07,,,
177,000210000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
178,000210001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.17,,,,0.22,950.0,2.07,,,
179,000210002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.404,,,,0.22,950.0,2.07,,,
180,000210003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.243,,,,0.22,950.0,2.07,,,
181,000210004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.125,,,,0.22,950.0,2.07,,,
182,000210005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.121,,,,0.22,950.0,2.07,,,
183,000210006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
184,000210007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
185,000220000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
186,000220001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.393,,,,0.22,950.0,2.07,,,
187,000220002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.243,,,,0.22,950.0,2.07,,,
188,000220003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.606,,,,0.22,950.0,2.07,,,
189,000220004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
190,000220005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.013,,,,0.22,950.0,2.07,,,
191,000220006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.076,,,,0.22,950.0,2.07,,,
192,000220007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.121,,,,0.22,950.0,2.07,,,
193,000220008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.248,,,,0.22,950.0,2.07,,,
194,000220009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.391,,,,0.22,950.0,2.07,,,
195,000220010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.606,,,,0.22,950.0,2.07,,,
196,000230000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
197,000230001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.018,,,,0.22,950.0,2.07,,,
198,000230002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.067,,,,0.22,950.0,2.07,,,
199,000230003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
200,000230004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
201,000230005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.074,,,,0.22,950.0,2.07,,,
202,000230006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.243,,,,0.22,950.0,2.07,,,
203,000230007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.389,,,,0.22,950.0,2.07,,,
204,000230008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.125,,,,0.22,950.0,2.07,,,
205,000230009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.176,,,,0.22,950.0,2.07,,,
206,000230010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.245,,,,0.22,950.0,2.07,,,
207,000230011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.389,,,,0.22,950.0,2.07,,,
208,000230012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.122,,,,0.22,950.0,2.07,,,
209,000230013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.072,,,,0.22,950.0,2.07,,,
210,000230014,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.028,,,,0.22,950.0,2.07,,,
211,000240000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
212,000240001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.015,,,,0.22,950.0,2.07,,,
213,000240002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.063,,,,0.22,950.0,2.07,,,
214,000250000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
215,000250001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
216,000250002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.018,,,,0.22,950.0,2.07,,,
217,000250003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.072,,,,0.22,950.0,2.07,,,
218,000250004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.025,,,,0.22,950.0,2.07,,,
219,000250005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.067,,,,0.22,950.0,2.07,,,
220,000260000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
221,000260001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
222,000260002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.174,,,,0.22,950.0,2.07,,,
223,000260003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.246,,,,0.22,950.0,2.07,,,
224,000260004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.373,,,,0.22,950.0,2.07,,,
